"Day","Sales","Trading Profit","Operating Expense","Net Profit"
44,26248248,12846329,3416921,9429408
45,28492419,13704530,3487860,10216670
46,28672924,13797421,3559299,10238122
47,29393407,14146122,3628838,10517284
48,29573544,14274698,3697160,10577538
49,29708164,14338802,3803702,10535100
