"Category","Overheads"
"Salary Expense",29.15
"Interest Expense ",0.47
"Marketing Expense",3.04
"Rental Expense",25.38
"Overflow Expense - Retail",0.06
"Overflow Expense - Warehouse",0.01
"Penalty Expense",1.18
"Depreciation Expense",19.32
"Maintenance Expense",3.94
"Shipping Expense",1.34
"Human Resource Expense",15.51
"Other Expense",0.59
